,date,orientation_class,sentiment_score,sentence_sentiment,token_sentiment,mean_sentiment,std_sentiment,token_mean,token_std
5,2021-12-15,LEFT,1,"[2, 3, 3, 3, 3]","[1, 1, -1, 1, -1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219]",2.8,0.1351741544253034
9,2021-11-25,LEFT,4,"[2, 3, 3, 3, 3, 2, 3, 2, 3]","[1, 1, -1, 1, -1, -1, 1, 1, -1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119, 0.01296992481203, 0.0288467659791189, -0.0028864128295946]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604, 0.0290702557801769, 0.116319877020657, 0.0869676804226556]",2.6666666666666665,0.11732006214667409
11,2021-11-25,LEFT,1,"[2, 3, 3, 3, 3, 2, 3, 2, 3, 2]","[1, 1, -1, 1, -1, -1, 1, 1, -1, -1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119, 0.01296992481203, 0.0288467659791189, -0.0028864128295946, -0.0361229819563152]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604, 0.0290702557801769, 0.116319877020657, 0.0869676804226556, 0.1331410395907868]",2.6,0.11890215989108537
12,2021-11-25,LEFT,1,"[2, 3, 3, 3, 3, 2]","[1, 1, -1, 1, -1, -1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604]",2.6666666666666665,0.13725379101609625
13,2021-11-25,LEFT,3,"[2, 3, 3, 3, 3, 2, 3]","[1, 1, -1, 1, -1, -1, 1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119, 0.01296992481203]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604, 0.0290702557801769]",2.7142857142857144,0.12179900026810776
14,2021-11-25,LEFT,4,"[2, 3, 3, 3, 3, 2, 3, 2, 3, 2, 3, 3, 2, 3, 3, 2, 3, 2, 2, 2, 2, 2, 3, 2]","[1, 1, -1, 1, -1, -1, 1, 1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, 1, 1, 1, -1, 1, -1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119, 0.01296992481203, 0.0288467659791189, -0.0028864128295946, -0.0361229819563152, -0.0303925241425241, -0.0047535755015593, -0.009045584045584, -0.0145742125521537, 0.0163733299108299, -0.0363230519480519, -0.0219300144300144, -0.0561666666666666, 0.0428522540640187, 0.0220391986485736, 0.0085034013605442, -0.0257847975372485, 0.0355829616155722, -0.0605572838109602]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604, 0.0290702557801769, 0.116319877020657, 0.0869676804226556, 0.1331410395907868, 0.1308237249116048, 0.1326775901947944, 0.1192254506331101, 0.1527630990904296, 0.0924578266118604, 0.0846258055340263, 0.1727058879785957, 0.160535215935805, 0.142977586550194, 0.1160396952138298, 0.0552783061674796, 0.1471416577551553, 0.113590380523659, 0.1131080656516526]",2.5,0.12179049548596044
15,2021-11-25,LEFT,1,"[2, 3, 3, 3, 3, 2, 3, 2, 3, 2, 3, 3, 2, 3, 3, 2]","[1, 1, -1, 1, -1, -1, 1, 1, -1, -1, -1, -1, -1, -1, 1, -1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119, 0.01296992481203, 0.0288467659791189, -0.0028864128295946, -0.0361229819563152, -0.0303925241425241, -0.0047535755015593, -0.009045584045584, -0.0145742125521537, 0.0163733299108299, -0.0363230519480519]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604, 0.0290702557801769, 0.116319877020657, 0.0869676804226556, 0.1331410395907868, 0.1308237249116048, 0.1326775901947944, 0.1192254506331101, 0.1527630990904296, 0.0924578266118604, 0.0846258055340263]",2.625,0.11884969349291746
18,2021-11-25,LEFT,1,"[2, 3, 3, 3, 3, 2, 3, 2]","[1, 1, -1, 1, -1, -1, 1, 1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119, 0.01296992481203, 0.0288467659791189]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604, 0.0290702557801769, 0.116319877020657]",2.625,0.12111410986217641
21,2021-12-16,LEFT,4,"[2, 3, 3, 3]","[1, 1, -1, 1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348]",2.75,0.1539688653590745
22,2021-10-25,LEFT,4,"[2, 3, 3, 3, 3]","[1, 1, -1, 1, -1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219]",2.8,0.1351741544253034
25,2021-07-22,LEFT,1,"[2, 3, 3]","[1, 1, -1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687]",2.6666666666666665,0.13359290691208772
26,2021-08-18,LEFT,1,"[2, 3, 3, 3, 3]","[1, 1, -1, 1, -1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219]",2.8,0.1351741544253034
27,2021-04-15,LEFT,4,"[2, 3, 3, 3, 3]","[1, 1, -1, 1, -1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219]",2.8,0.1351741544253034
30,2021-02-08,LEFT,4,"[2, 3, 3, 3]","[1, 1, -1, 1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348]",2.75,0.1539688653590745
31,2021-02-08,LEFT,4,"[2, 3, 3, 3, 3, 2, 3, 2, 3, 2, 3, 3, 2, 3, 3]","[1, 1, -1, 1, -1, -1, 1, 1, -1, -1, -1, -1, -1, -1, 1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119, 0.01296992481203, 0.0288467659791189, -0.0028864128295946, -0.0361229819563152, -0.0303925241425241, -0.0047535755015593, -0.009045584045584, -0.0145742125521537, 0.0163733299108299]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604, 0.0290702557801769, 0.116319877020657, 0.0869676804226556, 0.1331410395907868, 0.1308237249116048, 0.1326775901947944, 0.1192254506331101, 0.1527630990904296, 0.0924578266118604]",2.6666666666666665,0.12113128602351018
32,2021-02-08,LEFT,4,"[2, 3, 3, 3, 3, 2, 3, 2, 3, 2, 3, 3, 2, 3]","[1, 1, -1, 1, -1, -1, 1, 1, -1, -1, -1, -1, -1, -1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119, 0.01296992481203, 0.0288467659791189, -0.0028864128295946, -0.0361229819563152, -0.0303925241425241, -0.0047535755015593, -0.009045584045584, -0.0145742125521537]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604, 0.0290702557801769, 0.116319877020657, 0.0869676804226556, 0.1331410395907868, 0.1308237249116048, 0.1326775901947944, 0.1192254506331101, 0.1527630990904296]",2.642857142857143,0.12317939026719947
34,2021-05-18,LEFT,4,"[2, 3, 3, 3, 3]","[1, 1, -1, 1, -1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219]",2.8,0.1351741544253034
35,2021-05-18,LEFT,1,"[2, 3, 3, 3, 3]","[1, 1, -1, 1, -1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219]",2.8,0.1351741544253034
36,2021-05-18,LEFT,4,"[2, 3, 3, 3, 3, 2, 3, 2, 3, 2, 3]","[1, 1, -1, 1, -1, -1, 1, 1, -1, -1, -1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119, 0.01296992481203, 0.0288467659791189, -0.0028864128295946, -0.0361229819563152, -0.0303925241425241]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604, 0.0290702557801769, 0.116319877020657, 0.0869676804226556, 0.1331410395907868, 0.1308237249116048]",2.6363636363636362,0.11998593852931441
37,2021-05-18,LEFT,4,"[2, 3, 3, 3, 3, 2, 3]","[1, 1, -1, 1, -1, -1, 1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119, 0.01296992481203]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604, 0.0290702557801769]",2.7142857142857144,0.12179900026810776
44,2021-09-10,LEFT,1,"[2, 3, 3, 3, 3, 2, 3, 2, 3]","[1, 1, -1, 1, -1, -1, 1, 1, -1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119, 0.01296992481203, 0.0288467659791189, -0.0028864128295946]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604, 0.0290702557801769, 0.116319877020657, 0.0869676804226556]",2.6666666666666665,0.11732006214667409
45,2021-09-10,LEFT,4,"[2, 3, 3, 3, 3, 2]","[1, 1, -1, 1, -1, -1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604]",2.6666666666666665,0.13725379101609625
46,2021-09-10,LEFT,4,"[2, 3, 3, 3, 3, 2, 3]","[1, 1, -1, 1, -1, -1, 1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119, 0.01296992481203]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604, 0.0290702557801769]",2.7142857142857144,0.12179900026810776
47,2021-08-18,LEFT,4,"[2, 3, 3, 3, 3, 2, 3]","[1, 1, -1, 1, -1, -1, 1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119, 0.01296992481203]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604, 0.0290702557801769]",2.7142857142857144,0.12179900026810776
48,2021-08-18,LEFT,1,"[2, 3, 3]","[1, 1, -1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687]",2.6666666666666665,0.13359290691208772
49,2021-08-18,LEFT,1,"[2, 3, 3, 3]","[1, 1, -1, 1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348]",2.75,0.1539688653590745
50,2021-08-18,LEFT,4,"[2, 3, 3, 3, 3]","[1, 1, -1, 1, -1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219]",2.8,0.1351741544253034
51,2021-11-23,LEFT,4,"[2, 3, 3, 3, 3]","[1, 1, -1, 1, -1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219]",2.8,0.1351741544253034
55,2021-11-25,LEFT,1,"[2, 3, 3]","[1, 1, -1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687]",2.6666666666666665,0.13359290691208772
57,2021-07-01,LEFT,4,"[2, 3, 3, 3, 3, 2, 3, 2, 3, 2, 3]","[1, 1, -1, 1, -1, -1, 1, 1, -1, -1, -1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119, 0.01296992481203, 0.0288467659791189, -0.0028864128295946, -0.0361229819563152, -0.0303925241425241]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604, 0.0290702557801769, 0.116319877020657, 0.0869676804226556, 0.1331410395907868, 0.1308237249116048]",2.6363636363636362,0.11998593852931441
58,2021-07-01,LEFT,4,"[2, 3, 3]","[1, 1, -1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687]",2.6666666666666665,0.13359290691208772
59,2021-07-01,LEFT,1,"[2, 3, 3, 3, 3, 2, 3]","[1, 1, -1, 1, -1, -1, 1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119, 0.01296992481203]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604, 0.0290702557801769]",2.7142857142857144,0.12179900026810776
62,2021-05-27,LEFT,4,"[2, 3, 3, 3, 3, 2]","[1, 1, -1, 1, -1, -1]","[0.0128645047762694, 0.0002676039157082, -0.0311795734310183, 0.0108816964285714, -0.0177083333333333, -0.029626373989119]","[0.1066521236134131, 0.1345361964684814, 0.1595904006543687, 0.2150967407000348, 0.059995310690219, 0.1476519739700604]",2.6666666666666665,0.13725379101609625
