1st_sentence_with_keyword,sentence_annotation,prediction,partition
"I can give the noble Lord a general figure, which is that just over £2 billion was generated from visa, immigration and nationality income and passport fees in 2019-20.",3,3,test
"I am not persuaded that the breadth of this, which could criminalise everybody who arrives seeking asylum, is necessary.",5,3,test
"This year marks the fourth national Windrush Day, commemorating the arrival, on board the Empire Windrush, of the first Caribbean immigrants to the UK, who played a vital role in rebuilding Britain after the second world war.",5,3,validation
"In shorthand, it is that economic development in the east and south has created challenges to our western economies, driving deindustrialisation, inequality and immigration.",2,3,test
"I will then address the amendment put forward by the noble Lord, Lord Coaker, on advertising illegal routes to the UK.",3,3,test
"The noble Lord, Lord Green, contrasted the people coming across the channel with what he called genuine refugees.",4,3,test
"However, because of the exorbitant registration fee levied, many of them do not do so and can then find themselves effectively treated as immigrants, at risk of removal, even when born in this country The Motion itself is very modest.",4,3,validation
"Nor does this Queen’s Speech contain any measures to compensate my constituents for the serial incompetence of the Home Office in respect of not just the handling of immigration and asylum cases, but the issuing of passports.",3,3,test
We have also witnessed the emergence of a new kind of ruthless people smuggler.,3,3,validation
"The G20 also committed to ratify by the end of this year the WTO agreement to reduce the costs and burdens of moving goods across borders, and it agreed to do more to encourage firms of all sizes, in particular SMEs and female-led firms, to take full advantage of global supply chains Britain also continued to press for an ambitious EU trade agenda, including implementing the EU-Canada deal and forging agreements with Japan and America, and we will continue to make these arguments for as long as we are members of the EU.",3,3,test
"I will reflect on recent events, but noble Lords will be aware that there is a wide range of issues with security that we could consider, from civil emergencies to public health Although this debate focuses on the security situation in the UK, we are clear that in an ever more interconnected world, our security depends on addressing issues overseas and online.",2,3,test
"Rwanda is a state party to the 1951 refugee convention and the seven core UN human rights conventions, with a strong history of supporting refugees.",3,4,validation
"It is a personal, unresolved story and I shall use my time to tell it Mr Affonso was born in Tanzania, has lived in this country for more than 30 years, is married to a British national and has had protracted concerns over the status of his citizenship, which are, as yet, not satisfactorily resolved.",4,4,train
Members that the Scottish National party has called an Opposition day debate on immigration next week and some other Scottish colleagues will see me return to Westminster Hall the week after—I am not quite gone yet The hon.,3,3,train
"Therefore, it is only right that we design and shift to a system which is sovereign and based on skills—that is what this country needs I hope that, as we make this transition over the coming 12 months or so, we send a message to the world that we are still open to migrants and that we are not closing the shop or raising the drawbridge.",5,3,test
The consequences of mass uncontrolled immigration are one of the most serious challenges confronting Europe today.,2,2,train
One thing that drives people into the unseaworthy boats of the criminals is that they have no other way of getting out.,2,2,test
"This is the second day of the debate on the Queen’s Speech, when we are debating some of the gravest challenges that our country faces: public safety, national security, citizenship and the wellbeing of our communities; how we counter the extremism that poisons minds and terrorises communities; how we ensure high standards in policing and make sure that we still have police on our streets; how we control and manage migration, tackle exploitation and remain an outward-looking country; and how we protect our security, our liberty and our democracy.",2,3,test
"They have always been where I aim to be: on the side of the oppressed, not the oppressor, and always on the right side of history I am proud to be the daughter of Ghanaian migrants, and they are even prouder that myself and my hon.",5,3,test
These children are not economic migrants.,4,3,test
Matching profiles found at crime scenes in the UK against the four overseas databases saw an impressive 118 hits.,3,3,train
Lords amendment 4B relates to family reunion and unaccompanied asylum-seeking children.,3,3,test
"We should move to do every elected office in this country through a first-past-the-post system Separately, through our new borders Bill, we will fix the loopholes in our asylum system so that no human trafficking gang is able to take advantage of our generosity and humanity to fill their own pockets.",4,3,test
"He will be aware that all our constituents, including those of immigrant descent, want an immigration system that is robust, but they also want it to be fair.",4,3,test
"It seems to me that, as he said, this argument is cutting through: someone with confirmed refugee status should be able to live with their family.",4,3,test
